stars	delivery	takeout	Outdoor seating	hours	cost	location	cuisine
4	0	0	0	22	2	1	2
4.5	0	0	0	0	2	1	28
4	0	0	0	22	2	1	14
4	0	0	0	18	2	5	14
3.5	0	0	0	18	2	1	88
4.5	0	0	0	22	2	1	28
4	0	0	0	22	2	1	37
3.5	0	0	0	22	2	1	130
3	0	0	0	18	2	1	126
5	0	0	0	18	2	1	41
4	0	0	0	22	2	1	78
3	0	0	0	4	2	1	78
5	0	0	0	18	2	1	58
4	0	0	0	23	2	1	14
4.5	0	0	0	20	2	1	203
4	0	0	0	18	2	1	49
4	0	0	0	1	2	1	11
3.5	0	0	0	23	2	1	8
4.5	0	0	0	18	2	1	46
3.5	0	0	0	22	2	1	123
4.5	0	0	0	14.5	2	1	41
4	0	0	0	23	2	1	177
3.5	0	0	0	22	1	2	43
4	0	0	0	22	2	1	33
4	0	0	0	18	1	1	4
4	0	0	0	2	2	1	120
5	0	0	0	22	2	1	37
4	0	0	0	23	2	1	41
4	0	0	0	22	3	1	123
4	0	0	0	2	2	1	128
4.5	0	0	0	18	2	1	72
4.5	0	0	0	18	2	1	46
4	0	0	0	23	2	1	128
4	0	0	0	23	2	1	41
5	0	0	0	18	2	1	28
4	0	0	0	18	1	1	123
4	0	0	0	18	2	1	76
4	0	0	0	2	2	1	18
4	0	0	0	22	3	1	46
3	0	0	0	22	1	1	14
4	0	0	0	16	1	1	76
4.5	0	0	0	22	2	1	35
4.5	0	0	0	18	2	1	28
4	0	0	0	1	3	1	55
4	0	0	0	18	2	1	2
4	0	0	0	23	1	1	78
4.5	0	0	0	0	2	1	128
3.5	0	0	0	20	2	1	76
4	0	0	0	17	1	1	78
3.5	0	0	0	0	2	1	14
4	0	0	0	21	2	1	54
3.5	0	0	0	0	2	2	35
4	0	0	0	20	1	1	20
4.5	0	0	0	17	2	1	39
5	0	0	0	14.5	2	1	152
4	0	0	0	22	2	1	88
3.5	0	0	0	22	2	1	193
4	0	0	0	0	2	1	123
5	0	0	0	18	2	1	43
4.5	0	0	0	18	2	1	28
4.5	0	0	0	18	2	1	2
4	0	0	0	23	2	1	14
4	0	0	0	1	2	1	11
3.5	0	0	0	22.5	2	1	63
3.5	0	0	0	22	2	1	2
4	0	0	0	16	1	1	46
5	0	0	0	22.5	2	1	8
4.5	0	0	0	23	3	1	128
4	0	0	0	23	2	1	67
4.5	0	0	0	18	2	1	2
4.5	0	0	0	18	2	1	128
3.5	0	0	0	18	2	1	4
4.5	0	0	0	18	2	1	41
3.5	0	0	0	2	2	1	16
4	0	0	0	22.5	2	1	14
5	0	0	0	18	2	1	33
4	0	0	0	0	2	1	58
4	0	0	0	22	2	1	39
3	0	0	0	18	4	1	98
4.5	0	0	0	21.5	2	1	14
4.5	0	0	0	22	2	1	33
4	0	0	0	0	2	1	91
4	0	0	0	0	2	5	58
4.5	0	0	0	22	2	5	37
4	0	0	0	21	2	5	63
4	0	0	0	21	2	5	14
4	0	0	0	18	2	5	18
4	0	0	0	23	2	5	14
4	0	0	0	18	2	5	6
